gateway_id,mac_addr,reader_ip,location_id,reader_status,up_status,down_status,assigned,serial,created_at,updated_at,deleted_at
1,AC233FC09C05,NULL,2,NULL,"2021-04-16 02:07:23","0000-00-00 00:00:00",1,L1-CA-01,"2021-04-15 09:31:58","2021-04-16 02:07:23",NULL
2,AC233FC09C06,NULL,2,NULL,"2021-04-16 02:07:35","0000-00-00 00:00:00",1,L1-CA-02,"2021-04-15 09:31:58","2021-04-16 02:07:35",NULL
3,AC233FC09C07,NULL,2,NULL,"2021-04-16 02:07:47","0000-00-00 00:00:00",1,L1-CA-03,"2021-04-15 09:31:58","2021-04-16 02:07:47",NULL
4,AC233FC09C08,NULL,2,NULL,"2021-04-16 02:07:57","0000-00-00 00:00:00",1,L1-CA-04,"2021-04-15 09:31:58","2021-04-16 02:07:57",NULL
5,AC233FC09C09,NULL,2,NULL,"2021-04-16 02:08:13","0000-00-00 00:00:00",1,L1-CA-05,"2021-04-15 09:31:58","2021-04-16 02:08:13",NULL
6,AC233FC09C0A,NULL,2,NULL,"2021-04-16 02:08:28","0000-00-00 00:00:00",1,L1-CA-06,"2021-04-15 09:31:58","2021-04-16 02:08:28",NULL
7,AC233FC09C0B,NULL,2,NULL,"2021-04-16 02:08:43","0000-00-00 00:00:00",1,L1-CA-07,"2021-04-15 09:31:58","2021-04-16 02:08:43",NULL
8,AC233FC09C0C,NULL,2,NULL,"2021-04-16 02:08:54","0000-00-00 00:00:00",1,L1-CA-08,"2021-04-15 09:31:58","2021-04-16 02:08:54",NULL
9,AC233FC09C0D,NULL,3,NULL,"2021-04-16 02:09:11","0000-00-00 00:00:00",1,L1-CA-09,"2021-04-15 09:31:58","2021-04-16 02:09:11",NULL
10,AC233FC09C0E,NULL,3,NULL,"2021-04-16 02:10:07","0000-00-00 00:00:00",1,L1-CA-10,"2021-04-15 09:31:58","2021-04-16 02:10:07",NULL
11,AC233FC09C0F,NULL,3,NULL,"2021-04-16 02:10:19","0000-00-00 00:00:00",1,L1-CA-11,"2021-04-15 09:31:58","2021-04-16 02:10:19",NULL
12,AC233FC09C10,NULL,4,NULL,"2021-04-16 02:10:37","0000-00-00 00:00:00",1,L1-CA-12,"2021-04-15 09:31:58","2021-04-16 02:10:37",NULL
