log_id,log_time,gateway_id,beacon_id,rssi,battery_level,x_value,y_value,z_value,rawData
1,"2021-04-01 09:13:19",3,2,-77,100,0.046875,0.136719,1,0201060303E1FF1216E1FFA10364000C002301003FC3A83F23AC
2,"2021-04-01 09:13:31",3,3,-77,100,0.0390625,0.0898438,0.949219,0201060303E1FF1216E1FFA10364000A001700F33DC3A83F23AC
3,"2021-04-01 09:13:31",3,1,-77,100,0.0273438,0.128906,0.957031,0201060303E1FF1216E1FFA103640007002100F53BC3A83F23AC
4,"2021-04-01 09:16:36",3,4,-69,100,0.0273438,0.117188,0.949219,0201060303E1FF1216E1FFA103640007001E00F330C3A83F23AC
5,"2021-04-01 09:16:36",3,5,-80,100,0.0195312,0.117188,0.988281,0201060303E1FF1216E1FFA103640005001E00FD37C3A83F23AC
6,"2021-03-30 09:47:24",1,4,-74,100,0.0585938,0,0.949219,0201060303E1FF1216E1FFA10364000F000000F330C3A83F23AC
7,"2021-03-30 09:47:29",1,3,-78,100,0.078125,-0.0078125,0.96875,0201060303E1FF1216E1FFA103640014FFFE00F83DC3A83F23AC
8,"2021-03-30 09:47:29",2,5,-77,100,0.0195312,-0.0078125,1,0201060303E1FF1216E1FFA103640005FFFE010037C3A83F23AC
9,"2021-04-01 09:31:20",1,2,-65,100,0.046875,0.136719,0.988281,0201060303E1FF1216E1FFA10364000C002300FD3FC3A83F23AC
10,"2021-04-01 09:31:21",1,1,-71,100,0.0273438,0.136719,0.957031,0201060303E1FF1216E1FFA103640007002300F53BC3A83F23AC
11,"2021-04-01 09:32:18",6,4,-75,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
12,"2021-04-01 09:32:19",1,3,-68,100,0.0390625,0.0898438,0.957031,0201060303E1FF1216E1FFA10364000A001700F53DC3A83F23AC
13,"2021-04-01 09:32:20",1,2,-65,100,0.046875,0.128906,1,0201060303E1FF1216E1FFA10364000C002101003FC3A83F23AC
14,"2021-04-01 09:32:21",1,5,-71,100,0.0195312,0.117188,0.988281,0201060303E1FF1216E1FFA103640005001E00FD37C3A83F23AC
15,"2021-04-01 09:32:25",1,4,-68,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
16,"2021-04-01 09:32:22",1,1,-71,100,0.0390625,0.128906,0.957031,0201060303E1FF1216E1FFA10364000A002100F53BC3A83F23AC
17,"2021-04-01 09:33:08",2,1,-75,100,0.0273438,0.128906,0.957031,0201060303E1FF1216E1FFA103640007002100F53BC3A83F23AC
18,"2021-04-01 09:33:13",2,5,-77,100,0.0195312,0.117188,0.988281,0201060303E1FF1216E1FFA103640005001E00FD37C3A83F23AC
19,"2021-04-01 09:33:05",1,3,-63,100,0.0273438,0.0898438,0.96875,0201060303E1FF1216E1FFA103640007001700F83DC3A83F23AC
20,"2021-04-01 09:33:06",1,2,-69,100,0.0390625,0.136719,1,0201060303E1FF1216E1FFA10364000A002301003FC3A83F23AC
21,"2021-04-01 09:33:08",1,4,-68,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
22,"2021-04-01 09:33:12",6,4,-74,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
23,"2021-04-01 09:33:40",6,1,-75,100,0.0273438,0.128906,0.957031,0201060303E1FF1216E1FFA103640007002100F53BC3A83F23AC
24,"2021-04-01 09:34:18",4,1,-75,100,0.0195312,0.128906,0.957031,0201060303E1FF1216E1FFA103640005002100F53BC3A83F23AC
25,"2021-04-01 09:35:27",1,4,-62,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
26,"2021-04-01 09:39:02",6,4,-71,100,0.0195312,0.117188,0.96875,0201060303E1FF1216E1FFA103640005001E00F830C3A83F23AC
27,"2021-04-01 09:39:04",1,4,-71,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
28,"2021-04-01 09:39:42",6,4,-74,100,0.0078125,0.117188,0.9375,0201060303E1FF1216E1FFA103640002001E00F030C3A83F23AC
29,"2021-04-01 09:39:48",1,4,-62,100,0.0195312,0.109375,0.9375,0201060303E1FF1216E1FFA103640005001C00F030C3A83F23AC
30,"2021-04-01 09:39:50",6,4,-73,100,0.0078125,0.109375,0.9375,0201060303E1FF1216E1FFA103640002001C00F030C3A83F23AC
31,"2021-04-01 09:39:58",1,4,-71,100,0.0195312,0.109375,0.9375,0201060303E1FF1216E1FFA103640005001C00F030C3A83F23AC
32,"2021-04-01 09:40:50",6,4,-72,100,0.0195312,0.109375,0.9375,0201060303E1FF1216E1FFA103640005001C00F030C3A83F23AC
33,"2021-04-01 09:41:03",1,4,-63,100,0.0195312,0.117188,0.9375,0201060303E1FF1216E1FFA103640005001E00F030C3A83F23AC
