rules_id,description,x_threshold,y_threshold,z_threshold,x_frequency,y_frequency,z_frequency,alert_action,attendance,geofence,rules_type_id,scope_id,created_at,updated_at,deleted_at,battery_threshold
1,"Breakfast - Present",NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,1,"2021-03-31 05:21:56","2021-04-12 13:26:43",NULL,NULL
2,"Breakfast - Absent",NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,1,"2021-03-31 05:21:56","2021-04-12 06:24:43",NULL,NULL
3,"Lunch - Present",NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,2,"2021-03-31 05:21:56","2021-04-17 06:48:41",NULL,NULL
4,"Lunch - Absent",NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,2,"2021-03-31 05:21:56",NULL,NULL,NULL
5,"Dinner - Present",NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,3,"2021-03-31 05:21:56",NULL,NULL,NULL
6,"Dinner - Absent",NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,3,"2021-03-31 05:21:56",NULL,NULL,NULL
7,"Battery Low",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,2,1,"2021-03-31 05:21:56","2021-04-12 06:22:01",NULL,NULL
8,SOS,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,2,"2021-03-31 05:21:56","2021-04-13 13:06:01",NULL,NULL
9,Fall,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,1,"2021-03-31 05:21:56","2021-04-12 13:01:41",NULL,NULL
10,"Lobby - Entering",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,5,2,"2021-03-31 05:21:56","2021-04-12 06:29:24",NULL,NULL
11,Violence,NULL,1.5,1.5,NULL,5,6,1,NULL,NULL,6,1,"2021-03-31 05:21:56","2021-04-12 09:04:00",NULL,NULL
12,Lunch,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,16,"2021-04-12 03:49:58","2021-04-18 05:59:30","2021-04-18 05:59:30",NULL
13,Dinner,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,1,6,"2021-04-12 05:55:16","2021-04-18 05:59:30","2021-04-18 05:59:30",NULL
22,Dinner,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,20,"2021-04-18 06:16:15","2021-04-18 06:49:11",NULL,NULL
23,Lunch,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,21,"2021-04-18 06:48:30","2021-04-18 06:48:30",NULL,NULL
24,"Morning Tea",NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,22,"2021-04-18 06:50:13","2021-04-18 06:50:13",NULL,NULL
25,"Evening Tea",NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,NULL,"2021-04-18 06:57:42","2021-04-18 06:57:42",NULL,NULL
26,Test,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,1,NULL,"2021-04-18 06:58:53","2021-04-18 06:58:53",NULL,NULL
